english,arabic
disturbances,اضطرابات
disuse,عدم استعمال
dorsiflexors,العاطفات الظهرية
drainage,تصريف ، نزح
Duchenne muscular dystrophy,الحثل العضلي لدوشين
dynamized,مقوى
Dysfunction,خلل وظيفي
Dysplasia,خلل التنسج (حثل)
dystrophy,الحثل
effusion,انصباب
elicit,أثار
eliminated,مزال
elsewhere,في مكان آخر
end plate,صفيحة انتهائية
enhanced,تعزيز
ensue,"ولى, نشأ بوصفه نتيجة"
epidemiology,الوبائيات
equinus,قفد
estimation,تقدير
etiology,السببيات
evertors,القالبات للخارج
evolution,تطور ، تقدم
exacerbate,"فاقم, زاد, أثار"
exacerbate,"فاقم, استفحل, زاد الألم, أثار"
exacerbated,مثار
examination,فحص
excess,الزيادة
excised,مزال
expandable,متمدد ، قابل للتوسيع
expressed,معبر ، يتعبر
extent,امتداد
externum,متفاوت
facets,وجيهات
fibrocartilaginous,غضروف ليفي
finding,موجودة
findings,موجودات
fine,دقيق
fine-tip,ذروة دقيقة
fitting,"مناسب, ملائم ، يناسب"
flatfoot,قدم مسطحة
flexors,القابضات
flicker,ترجرج ، الرجفة
forequarter,الربع الأمامي
formed,"مشكل, مؤلف, مكون"
fuller,قصار
fused,مندمج
fusion,التحام
Gastrostomy,فغر المعدة
gastrostomy,فغر معدة
gene,مورثة
generalist,طبيب عام
generalized,معمم
genitourinary,البولي التناسلي
genotype,نمط جيني
genu valgum,ركبة فحجاء
glacial,جليدي ، ثلجي ، بارد
good Samaritan,المتطوع لإغاثة الغريب
grating,جرش ، مزعج
gratitude,امتنان ، عرفان بالجميل
Gravitational,تجاذبي
grossly,بشكل فادح
growth has halted,توقف النمو
guidelines,دلائل إرشادية
gymnast,جمبازي
gymnasts,لاعبي الجمباز
haemarthrosis,تدمي المفصل
Hazy,مغشى، ضبابي
healed,مندمل
heart-shaped,على شكل قلب
hedgehog,قنفذ
hemangiomas,الأورام الوعائية
hemarthrosis,تدمي المفصل
hematogenous,دموي المنشأ
hemihypertrophy,ضخامة شقية
hemiplegia,شلل نصفي
hemiplegic,شللي نصفي
Hemodialysis,التحال الدموي
hence,لذلك، من ثم، من ثمة، من هنا، من ثمت، من الآن
holding,مسك
hollow,تجويف
hydrocephalus,استسقاء الرأس
hygienic,تصححية
hyperextension,فرط البسط
Hypoplasia,نقص التنسج
identify,"ميز ، عين النوع ، مطابقة, المتطابقة, هوية ،  تماثل, تجانس ،  طابق"
if so,في هذه الحال
ileum,حرقفة
ill, سوء، بلاء، اضطراب
immunize,حصن، لقح، منع
immunocompetence,أهلية مناعية
impingement,ارتطام
impinging,ارتطام
in practice,عمليا
in terms of,من حيث
inborn,موروث
incapacity,"الإعياء ، عدم القدرة, الضعف عن"
incidence,حدوث
incidental,"تصادفي, طارئ, عرضي, حادث عارض ، عارضي"
incomplete,غير كامل
incorporate,دمج ، اتحد ، يضمن
indeed,"بالتأكيد, حقا, في الواقع, بالفعل, فعلا"
indicated,مستطب
Indications,استطبابات
indicator,المؤشر مشعر
individuality,"الفردية, شخصية"
inequality,عدم تساوي
inevitably,حتما
infarctions,احتشاءات
Infections,انتانات
infectious,انتاني
infiltration,ارتشاح
inheritance,وراثة
innominate,اللااسم له
insertion,مرتكز
insole,النعل الداخلي
In-sole,النعل الداخلي
inspected,معاين
inspection,"فحص, مراقبة ، معاينة"
instruct, علم، أرشد، ثقف، أعطى تعليمات، أعطى أوامر، أمر
instrumentation,استعمال الأدوات (الأجهزة)
insufficient,غير كافي
intensity,شدة، كثافة، قوة، حدة
interpedicular,بين السويقات
interposition,تدخل، تخلل ، توضيع بيني ، توسط
interspinous,بين السناسن
intimate,عميق ، حميم ، ودي
intimately,بحميمية
Intrasubstance,داخل المادة
introduced,مقدم
inversion,انقلاب للداخل
inverters,القالبات للداخل
investigations,استقصاءات
invoking,ناشد ، المناشدة ، التضرع
involved,مشارك ، مكتنف
irregularities,شذوذات
irregularity,شذوذية، شذوذ، لا نظامية، لا انتظام
is seen,يشاهد
issue,مسألة
kinky,ملتوي (غريب)
knock,طرقاء
knock-knees,ركب-طرقاء
Kyphoscoliosis,جنف حدابي
laminar,صفائحي
landmark,معلم
lengthening,تطويل
Ligamentotaxis,تطبيق قوة طولانية مستمرة (تفريق) لرد الكسر
lineman,مساعد الحكم
little,صغير
localized,تمركز، مركز، موضع
locomotor,حركي
lookout,انتبه، احذر ، رقيب، مراقبة
Look-out,المراقبة
loose,حرة
